n_samples_queried	n_samples	error	log-loss	$\text{ECE}_1$	MCE	sharpness	overconfidence	underconfidence	$\frac{o(f)}{u(f)}$	$\frac{\text{accuracy}}{\text{error}}$	$\abs{o(f) \mathbb{P}(\hat{y} \neq y) -u(f) \mathbb{P}(\hat{y} = y)}$	$avg. confidence	calibration_method	cv_run
2368	5829	0.09713971397139709	0.406872692351483	0.04813338000466707	0.7564141414141414	0.11209710786713015	0.646564403885187	0.11815880686262038	5.471995029849341	9.294450736126846	0.043873812903289955	0.858986473125313	TemperatureScaling	0
2447	6079	0.0962596259625963	0.4048344247643083	0.04927316064939821	0.7564141414141414	0.10850642526800763	0.6497738436398403	0.11696141780613949	5.555454574916521	9.388571428571424	0.043155768327015995	0.8605846057103876	TemperatureScaling	0
2599	4722	0.09570957095709576	0.3947375240177718	0.035795935149070396	0.7476767676767677	0.103595439550633	0.6688307613650265	0.10104424954656832	6.619186785654557	9.44827586206896	0.027359842561630168	0.8769305864812741	TemperatureScaling	0
2602	4972	0.09559955995599556	0.3946030533084053	0.03623176206509532	0.7476767676767677	0.10358928541036966	0.6690809398870187	0.10099864151654087	6.624652865033251	9.460299194476415	0.02737937240326331	0.8770210676407411	TemperatureScaling	0
2605	5222	0.09570957095709576	0.39504824524422727	0.035526391528041636	0.7476767676767677	0.1036482458925598	0.6690468250981695	0.10109375735659908	6.618082486915264	9.44827586206896	0.02738393263320535	0.8769064964096989	TemperatureScaling	0
2609	5472	0.09548954895489548	0.3946617395864172	0.03582781611494479	0.7476767676767677	0.10360975842198751	0.6695229838291661	0.10088125635415936	6.6367431178563185	9.472350230414747	0.027315702946114656	0.87719474809899	TemperatureScaling	0
2610	5722	0.09548954895489548	0.3946520423750316	0.035657915791579085	0.7476767676767677	0.10360182896529219	0.6695579978920102	0.1008581558058332	6.638610358700272	9.472350230414747	0.027291464781660696	0.8772189862634439	TemperatureScaling	0
2612	5972	0.09548954895489548	0.39471842438426935	0.03616089386716444	0.7476767676767677	0.10364262107052921	0.6696184419036315	0.10088092488859955	6.637711169312489	9.472350230414747	0.027306287883576835	0.8772041631615277	TemperatureScaling	0
2616	6222	0.09537953795379539	0.3948037492862917	0.03733053860941644	0.7476767676767677	0.1046375113744814	0.6685414990000873	0.10119552903082686	6.606433163627533	9.484429065743944	0.027778366951310626	0.8768420950948941	TemperatureScaling	0
2678	6472	0.09603960396039601	0.3926579200732282	0.03762480692513689	0.7476767676767677	0.10367383139501853	0.664965236581667	0.09963537420472945	6.673987445616505	9.41237113402062	0.02620343435692704	0.8777569616826769	TemperatureScaling	0
2735	6722	0.09724972497249729	0.3963920482675857	0.03683380560278244	0.7651515151515151	0.10282126121664598	0.6676410808707405	0.1000198917178671	6.675083020025666	9.282805429864249	0.025365073261505236	0.8773852017659974	TemperatureScaling	0
2787	6972	0.09823982398239828	0.39831146975834103	0.035517912902401284	0.3571717171717172	0.10330039004227902	0.6664237540402872	0.10002282092865114	6.662717046499463	9.179171332586781	0.024727244311790603	0.8770329317058112	TemperatureScaling	0
