n_samples_queried	n_samples	error	log-loss	ECE	MCE	sharpness	overconfidence	underconfidence	avg_confidence	calibration_method	cv_run
3753	12249	0.09724972497249729	1.3526920335816686	0.039227517033977664	0.42373737373737375	0.09841298531105656	0.6711121746229669	0.0988357372818241	0.878791760421568	GPCalibration	0
3794	12499	0.09680968096809683	1.3542495860440003	0.036626439739490466	0.36590909090909096	0.09905843641645595	0.6740710882948548	0.09961406061977472	0.8784764708483082	GPCalibration	0
3837	12749	0.09713971397139709	1.3568812413416023	0.03860774838167572	0.6865151515151515	0.09875782255542262	0.6718054834894948	0.09982858642856135	0.8779880124424666	GPCalibration	0
3882	12999	0.09768976897689774	1.3585285738079826	0.037623439157582594	0.3833838383838384	0.09831704890454708	0.6718272878708795	0.09965418454733609	0.8780218932862586	GPCalibration	0
3929	13249	0.09735973597359737	1.3561388800646628	0.03958712528741148	0.6777777777777778	0.09750990871699403	0.6739248205043991	0.09974640040638075	0.8782182894182661	GPCalibration	0
3971	13499	0.09757975797579754	1.3581941692721415	0.03848479066769843	0.6777777777777778	0.09759685290081482	0.6732736527420261	0.09949253478496008	0.8783340447900055	GPCalibration	0
4199	8813	0.09636963696369638	1.3585089337796505	0.0391636454816116	0.6865151515151515	0.09924031007931007	0.6717032811895531	0.10149609862193963	0.8766472079473527	GPCalibration	0
4202	9063	0.09658965896589655	1.3585643462367356	0.04090412612689835	0.6865151515151515	0.09914067396609778	0.6713659064793732	0.10139583642611373	0.8766552978171225	GPCalibration	0
4207	9313	0.09647964796479647	1.3585630275696032	0.04112892722020734	0.6777777777777778	0.09920603932065757	0.6717411138439239	0.10137790916367732	0.876732694046187	GPCalibration	0
4210	9563	0.09680968096809683	1.3585815274963862	0.03871896969290817	0.6865151515151515	0.09906276858340952	0.6713748922845691	0.10118238889633217	0.8767989540562744	GPCalibration	0
4216	9813	0.0962596259625963	1.3587250994468245	0.039753485539181586	0.6865151515151515	0.09926699511208835	0.6723643434387023	0.10158906208860806	0.8766517772773322	GPCalibration	0
4221	10063	0.097029702970297	1.348515392502165	0.03917041778874428	0.6865151515151515	0.09957155564215149	0.670391339251993	0.10133200354046092	0.8765183802156385	GPCalibration	0
4225	10313	0.09647964796479647	1.3487891251469406	0.03933702181141808	0.6865151515151515	0.0994449812916923	0.6725838722506083	0.10151516277077094	0.876689991653184	GPCalibration	0
4227	10563	0.09691969196919692	1.3490614152549283	0.0373857262502912	0.6865151515151515	0.0993552844145423	0.6719366002558839	0.10143713935059832	0.8765983132999309	GPCalibration	0
